2020-05-27 16:22:00.713 INFO  --- [main, NOSESSION] c.h.d.DockerLogSystemApplicationKt : Starting DockerLogSystemApplicationKt on AL01541799.local with PID 14814 (/Users/henryjo/IdeaProjects/docker-log-system/build/classes/kotlin/main started by henryjo in /Users/henryjo/IdeaProjects/docker-log-system) 
2020-05-27 16:22:00.715 INFO  --- [main, NOSESSION] c.h.d.DockerLogSystemApplicationKt : No active profile set, falling back to default profiles: default 
2020-05-27 16:22:01.438 INFO  --- [main, NOSESSION] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http) 
2020-05-27 16:22:01.458 INFO  --- [main, NOSESSION] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2020-05-27 16:22:01.458 INFO  --- [main, NOSESSION] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/9.0.13 
2020-05-27 16:22:01.467 INFO  --- [main, NOSESSION] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/henryjo/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.] 
2020-05-27 16:22:01.534 INFO  --- [main, NOSESSION] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2020-05-27 16:22:01.534 INFO  --- [main, NOSESSION] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 788 ms 
2020-05-27 16:22:01.719 INFO  --- [main, NOSESSION] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2020-05-27 16:22:01.880 INFO  --- [main, NOSESSION] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2020-05-27 16:22:01.884 INFO  --- [main, NOSESSION] c.h.d.DockerLogSystemApplicationKt : Started DockerLogSystemApplicationKt in 6.511 seconds (JVM running for 6.881) 
